filename, row, T, meanT, RH, meanRH, P, meanP WS, meanWS, TFLAG(1=bad), WFLAG(1=bad)
0219A_20181210_141419.txt,443.0,1.2,1.1,91.7,91.6,989.0,986.8,1.7,1.8,1,0
0219A_20181210_141419.txt,444.0,1.2,1.1,91.7,91.6,984.1,987.0,1.8,1.8,1,0
0219A_20181210_141419.txt,445.0,1.1,1.1,91.8,91.6,989.2,987.4,1.8,1.8,1,0
0219A_20181210_141419.txt,449.0,1.0,1.0,91.5,91.5,989.6,988.3,2.0,1.9,1,0
0219A_20181210_141419.txt,453.0,1.0,1.0,91.4,91.5,984.7,989.1,2.0,2.0,1,0
0219A_20181210_141419.txt,581.0,0.9,1.0,91.5,91.5,986.5,989.4,2.5,2.5,1,0
0219A_20181210_141419.txt,593.0,1.0,1.0,91.5,91.4,987.5,989.6,2.2,2.3,1,0
0219A_20181210_141419.txt,633.0,1.0,1.0,91.6,91.6,987.1,989.1,3.0,3.0,1,0
0219A_20181210_141419.txt,637.0,1.0,1.0,91.5,91.6,986.0,989.1,3.1,3.0,1,0
0219A_20181210_140303.txt,0.0,0.9,0.9,91.7,91.7,990.0,974.4,2.1,2.1,1,0
0219A_20181210_140303.txt,1.0,1.0,0.9,91.8,91.7,971.0,973.2,2.2,2.1,1,0
0219A_20181210_140303.txt,3.0,0.9,0.9,91.6,91.7,965.5,970.4,2.0,2.1,1,0
0219A_20181210_140303.txt,4.0,0.9,0.9,91.7,91.7,971.0,968.7,2.1,2.1,1,0
0219A_20181210_140303.txt,5.0,0.9,0.9,91.7,91.6,967.4,969.6,2.1,2.0,1,0
0219A_20181210_140303.txt,6.0,0.9,0.9,91.7,91.6,983.1,966.2,2.0,2.0,1,0
0219A_20181210_140303.txt,7.0,0.7,0.9,91.5,91.6,940.5,965.6,2.0,2.0,1,0
0219A_20181210_140303.txt,8.0,0.6,0.9,91.7,91.6,955.1,966.1,1.9,2.0,1,0
0219A_20181210_140303.txt,9.0,0.9,0.9,91.1,91.6,978.0,966.2,1.9,2.0,1,0
0219A_20181210_140303.txt,10.0,0.9,0.9,91.7,91.6,956.1,964.5,1.9,2.0,1,0
0219A_20181210_140303.txt,12.0,1.0,0.9,91.6,91.6,979.8,962.7,1.9,1.9,1,0
0219A_20181210_140303.txt,13.0,0.9,0.9,91.9,91.7,966.4,965.2,2.0,1.9,1,0
0219A_20181210_140303.txt,14.0,0.9,0.9,91.8,91.7,953.8,965.4,2.0,1.9,1,0
0219A_20181210_140303.txt,15.0,0.9,0.9,91.6,91.7,968.5,963.0,2.0,1.9,1,0
0219A_20181210_140303.txt,17.0,0.7,0.8,91.7,91.7,965.4,963.3,1.8,1.9,1,0
0219A_20181210_140303.txt,18.0,0.8,0.8,91.8,91.7,957.8,960.3,1.9,1.9,1,0
0219A_20181210_140303.txt,19.0,0.8,0.8,91.9,91.7,953.9,959.8,1.9,1.9,1,0
0219A_20181210_140303.txt,20.0,0.9,0.8,91.8,91.7,963.2,960.5,1.8,1.8,1,0
0219A_20181210_140303.txt,22.0,0.9,0.8,91.6,91.7,950.4,961.2,1.9,1.8,1,0
0219A_20181210_140303.txt,25.0,0.8,0.9,91.8,91.8,971.5,963.3,1.9,1.8,1,0
0219A_20181210_140303.txt,26.0,0.8,0.9,91.8,91.8,968.1,963.2,1.7,1.8,1,0
0219A_20181210_140303.txt,27.0,1.1,0.9,92.0,91.8,969.8,963.5,1.8,1.8,1,0
0219A_20181210_140303.txt,28.0,0.8,0.9,91.7,91.8,956.9,966.4,1.7,1.8,1,0
0219A_20181210_140303.txt,29.0,1.1,0.9,91.7,91.8,971.0,969.4,1.8,1.8,1,0
0219A_20181210_140303.txt,30.0,0.8,0.9,91.8,91.7,962.1,972.2,1.8,1.8,1,0
0219A_20181210_140303.txt,31.0,0.8,0.9,91.7,91.7,963.3,973.9,1.7,1.8,1,0
0219A_20181210_140303.txt,32.0,0.8,0.9,91.6,91.7,979.7,975.0,1.8,1.8,1,0
0219A_20181210_140303.txt,33.0,0.8,0.9,91.6,91.7,990.8,976.7,1.7,1.8,1,0
0219A_20181210_140303.txt,34.0,0.9,0.9,91.7,91.7,989.0,978.7,1.8,1.8,1,0
0219A_20181210_140303.txt,35.0,0.8,0.9,91.8,91.7,988.7,979.2,1.9,1.8,1,0
0219A_20181210_140303.txt,36.0,1.0,0.9,91.6,91.7,979.1,980.3,1.7,1.8,1,0
0219A_20181210_140303.txt,37.0,0.9,0.9,91.8,91.7,986.0,980.8,1.8,1.8,1,0
0219A_20181210_140303.txt,38.0,0.9,0.9,91.8,91.8,977.5,979.8,1.7,1.8,1,0
0219A_20181210_140303.txt,39.0,0.9,0.9,91.7,91.8,975.5,977.2,1.8,1.8,1,0
0219A_20181210_140303.txt,40.0,0.9,0.9,91.8,91.7,973.8,976.6,1.7,1.8,1,0
0219A_20181210_140303.txt,41.0,1.0,0.9,92.0,91.7,967.6,976.2,1.8,1.8,1,0
0219A_20181210_140303.txt,42.0,0.9,0.9,91.8,91.7,969.8,976.4,1.7,1.8,1,0
0219A_20181210_140303.txt,43.0,0.6,0.9,91.7,91.7,964.8,976.6,1.8,1.8,1,0
0219A_20181210_140303.txt,44.0,0.9,0.9,91.3,91.7,982.8,976.8,1.7,1.8,1,0
0219A_20181210_140303.txt,45.0,1.0,0.8,91.3,91.7,984.9,977.1,1.8,1.8,1,0
0219A_20181210_140303.txt,46.0,0.9,0.8,91.7,91.7,981.3,977.1,1.7,1.8,1,0
0219A_20181210_140303.txt,47.0,0.8,0.8,91.7,91.7,988.0,978.0,1.8,1.7,1,0
0219A_20181210_140303.txt,49.0,0.7,0.8,91.8,91.6,978.7,981.3,1.8,1.7,1,0
0219A_20181210_140303.txt,50.0,0.9,0.8,91.7,91.7,974.2,982.1,1.7,1.7,1,0
0219A_20181210_140303.txt,51.0,0.8,0.8,91.9,91.7,976.2,982.6,1.6,1.7,1,0
0219A_20181210_140303.txt,52.0,1.0,0.8,91.7,91.7,975.4,983.4,1.7,1.7,1,0
0219A_20181210_140303.txt,53.0,0.7,0.8,91.5,91.7,992.1,983.6,1.6,1.7,1,0
0219A_20181210_140303.txt,54.0,1.0,0.9,91.8,91.7,991.0,984.6,1.6,1.6,1,0
0219A_20181210_140303.txt,55.0,0.8,0.9,91.7,91.7,990.0,985.6,1.7,1.6,1,0
0219A_20181210_140303.txt,56.0,0.9,0.9,91.7,91.7,989.4,987.0,1.6,1.6,1,0
0219A_20181210_140303.txt,57.0,0.9,0.9,91.8,91.7,989.5,987.9,1.6,1.6,1,0
0219A_20181210_140303.txt,61.0,0.8,0.9,91.8,91.8,985.7,988.5,1.4,1.5,1,0
